Month,Year,Number_Of_People,Household_Water_Use_Litres_Yearly,Person_Water_Use_Litres_Yearly,Person_Water_Use_Litres_Per_Day
August,2019,1,93544,93544,256
August,2019,4,197864,49466,136
August,2019,4,161173,40293,110
August,2019,2,84111,42055,115
August,2019,2,73593,36796,101
August,2019,2,120234,60117,165
August,2019,2,181695,90847,249
August,2019,3,155554,51851,142
August,2019,4,239605,59901,164
August,2019,2,75053,37527,103
August,2019,4,211444,52861,145
August,2019,2,125548,62774,172
August,2019,5,150358,30072,82
August,2019,2,107298,53649,147
August,2019,2,180612,90306,247
August,2019,2,85570,42785,117
August,2019,2,62804,31402,86
August,2019,1,61143,61143,168
August,2019,1,115141,115141,315
August,2019,2,130987,65493,179
August,2019,2,83473,41737,114
August,2019,1,78766,78766,216
August,2019,2,247393,123697,339
August,2019,5,213199,42640,117
August,2019,2,170266,85133,233
August,2019,2,262794,131397,360
August,2019,1,48409,48409,133
August,2019,3,166591,55530,152
August,2019,2,174404,87202,239
August,2019,1,220719,220719,605
August,2019,2,94717,47358,130
August,2019,4,259686,64921,178
August,2019,3,82429,27476,75
August,2019,4,162717,40679,111
August,2019,2,82106,41053,112
August,2019,2,157367,78683,216
August,2019,1,45903,45903,126
August,2019,2,199594,99797,273
August,2019,2,113871,56936,156
August,2019,1,85609,85609,235
August,2019,3,72515,24172,66
August,2019,3,290214,96738,265
August,2019,2,130164,65082,178
August,2019,2,78851,39425,108
August,2019,1,96733,96733,265
August,2019,3,118065,39355,108
August,2019,1,43102,43102,118
August,2019,2,73147,36573,100
August,2019,1,47273,47273,130
August,2019,1,57787,57787,158
August,2019,4,284753,71188,195
August,2019,3,158783,52928,145
August,2019,4,152765,38191,105
August,2019,2,137389,68694,188
August,2019,4,849083,212271,582
August,2019,1,99654,99654,273
August,2019,1,46013,46013,126
August,2019,2,80143,40071,110
August,2019,2,91343,45671,125
August,2019,2,106692,53346,146
August,2019,2,142391,71195,195
August,2019,2,87749,43874,120
August,2019,4,129049,32262,88
August,2019,3,115267,38422,105
August,2019,1,67617,67617,185
August,2019,1,60972,60972,167
August,2019,2,94921,47460,130
August,2019,2,166160,83080,228
August,2019,2,62601,31300,86
